bin,age,parameterValue,parameterFrequency,sd,countsPerBin,autocorrelationPerBin
1,0.0005,43.55343628,0.028571429,25.12732697,66,0.018586904
2,0.0015,730.6696167,0.028571429,239.8734131,123,0.213625684
3,0.0025,56.12658691,0.028571429,9.639507294,116,0.039240144
4,0.0035,485.3422852,0.028571429,58.03580856,206,-0.047014318
5,0.0045,331.8739929,0.028571429,31.85837936,346,-0.014178628
6,0.0055,418.1575623,0.028571429,44.49342346,410,0.228233799
7,0.0065,510.745575,0.028571429,40.44804764,522,0.10886357
8,0.0075,566.034729,0.028571429,49.39104843,660,0.150286615
9,0.0085,509.359436,0.028571429,32.53362656,739,0.099282347
10,0.009500001,777.4293213,0.028571429,46.05524826,948,0.086932376
11,0.010500001,1035.809082,0.028571429,59.2771759,1190,0.17396529
12,0.011500001,1150.359375,0.028571429,53.97247314,1534,0.191527829
13,0.012500001,1617.751221,0.028571429,73.43532562,1795,0.177642942
14,0.013500001,1854.068848,0.028571429,74.68947601,2257,0.2228387
15,0.014500001,1926.957153,0.028571429,69.01177216,2888,0.308981389
16,0.015500001,2772.068604,0.028571429,97.48369598,3335,0.308639348
17,0.016500001,3807.34375,0.028571429,118.9494629,3843,0.27607283
18,0.017500001,4610.469238,0.028571429,164.3174896,3905,0.385896385
19,0.018500001,4606.880859,0.028571429,149.9385681,3951,0.344852984
20,0.019500001,5110.769531,0.028571429,184.609787,3477,0.356238037
21,0.020500001,4370.516113,0.028571429,166.6605225,2730,0.335946798
22,0.021500001,4517.068848,0.028571429,223.1065979,2216,0.42936489
23,0.022500001,3796.932129,0.028571429,191.4133453,1399,0.310351759
24,0.023500001,3296.089844,0.028571429,195.8836212,1005,0.367914885
25,0.024500001,3279.512451,0.028571429,254.7730865,631,0.338832498
26,0.025500001,3100.124268,0.028571429,342.6632996,341,0.318963438
27,0.026500001,2601.289307,0.028571429,349.4328613,157,0.24067305
28,0.027500001,2200.474365,0.028571429,374.2876587,103,0.264753521
29,0.028500001,1432.982544,0.028571429,321.513916,43,0.395174623
30,0.029500001,2288.538818,0.028571429,657.1712646,17,-0.057592027
31,0.030500001,1386.786499,0.028571429,690.5015259,6,-0.233698592
32,0.031500002,2873.583252,0.028571429,-999,1,-999
